File <unspecified filename> is larger than the maximum size supported by datastore '<unspecified datastore>07/09/2013 18:26:34 ANS9365E VMware vStorage API error.,BACKUP RESTORE,BACKUP RESTORE|BACKUP RESTORE OTHER,97618654
- It's geting very solw process. Some time it's showing some error massge.;,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,104731012
- maxMC/WMDS wont print any document;,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS PATH,103957049
- Not to log into Sibel;,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,103602981
"- user have submitted a WO before, requested for a Firewall Change (including healthlink",NETWORK,NETWORK|CONNECTIVITY,102936322
"- User launch her Ultera via Citrix; no error, just activeX information b",OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,90575785
"- User logs into the Citrix and then clciks on the WEb Coins icon and it does not luanch,;",OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,104648687
- User reported he unable to access IE icon on his citrix.,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,89573860
- User reported he unable to launch the Production - Content Console icon via Citrix.,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,89807776
- User reported he unable to launch the Production - Content Console icon via Citrix.,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,92946899
- user reported that he cannot do a print for one particular document,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,91536956
- We disconnected the session through the CMC Console,FILE SYSTEM / DATASET,FILE SYSTEM / DATASET|DISK SPACE,89505475
"- When click user get and error message "" Path not found error"";",OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS PATH,104225858
"""""Ok a couple weeks ago my K drive was not available to me.  It finally showed back up and allows me to click on it.  When I click on it...my file folders are like grayed out, but it will allow me to click on them.  But, some of the things that used to be FOLDERS are now .EXE files and there are some inappropriate .EXE files in there.  Like I see some that say Porn.EXE, Secret.EXE, Sexy.EXE""""",OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,89499365
"""""Ok a couple weeks ago my K drive was not available to me.  It finally showed back up and allows me to click on it.  When I click on it...my file folders are like grayed out, but it will allow me to click on them.  But, some of the things that used to be FOLDERS are now .EXE files and there are some inappropriate .EXE files in there.  Like I see some that say Porn.EXE, Secret.EXE, Sexy.EXE""""",OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,89499367
"""'Citrix attachmate tier 1 shortcut to blue cross log on is having issues -  The network connection to the shortcut is not responding""""",NETWORK,NETWORK|CONNECTIVITY,97237907
"""I am an off premise worker. When I use Internet Explorer within Citrix, my Blue Squared ""DF"" starts clocking and does not load at all. """,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,90822883
"""I am an off premise worker. When I use Internet Explorer within Citrix, my Blue Squared ""DF"" starts clocking and does not load at all. """,OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,90822892
"""VA10PWPGEP002"" involved in the node migration task. Unable to login the server to update the dsm.opt file. Please enable RDP and update us.",CAPACITY,CAPACITY|PAGING UTILIZATION,104739006
"(Accelerator status values: 1=other, 2=notConfigured, 3=enabled, 4=tmpDisabled, 5=permDisabled)",OS / SYSTEM SOFTWARE,OS / SYSTEM SOFTWARE|OS OTHER,97214268
(No SQL related files taking space),FILE SYSTEM / DATASET,FILE SYSTEM / DATASET|DISK SPACE,97371296
(Received during suppression) (Received during suppression) (Received during suppression) High space used (86%) for C:,FILE SYSTEM / DATASET,FILE SYSTEM / DATASET|DISK SPACE,99538181
